Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
999,Ministry of Road Transport & Highways,Roads & Highways,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,NHAI,618831,Jharkhand,03/2023,10/2024,10/2026,03/2027,1436.80,0.00,419.79,29.20,109
1000,Ministry of Road Transport & Highways,Roads & Highways,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,NHAI,618832,Jharkhand,02/2024,01/2026,01/2028,01/2028,1274.82,0.00,253.66,11.10,109
1001,Ministry of Road Transport & Highways,Roads & Highways,Barhi-Koderma Section of NH31 km 0.00 - km 27.5,NHAI,618863,Jharkhand,02/2017,11/2019,08/2024,09/2026,662.44,0.00,828.10,98.50,109
1002,Ministry of Road Transport & Highways,Roads & Highways,4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,NHAI,618947,Jharkhand,03/2018,12/2021,07/2023,10/2026,1504.80,0.00,1038.78,91.83,109
1003,Ministry of Road Transport & Highways,Roads & Highways,4L of Basukinath- Deoghar Section of NH-114A,NHAI,618949,Jharkhand,09/2022,12/2023,12/2025,09/2026,1444.94,0.00,781.51,90.53,109
1004,Ministry of Road Transport & Highways,Roads & Highways,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,NHAI,618950,Jharkhand,11/2024,01/2026,01/2028,01/2028,1565.47,0.00,106.35,12.00,109
1005,Ministry of Road Transport & Highways,Roads & Highways,Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of Jharkhand under EPC Mode,MoRTH,619005,Jharkhand,03/2023,01/2026,01/2028,01/2028,235.42,0.00,44.83,14.00,109
1006,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Elevated corridor from Km. 135.650 to 136.300 on 63, from Km. 249 to Km. 250.050 on old NH-4 and from Km. 192.910 to Km. 193.350 on NH-218 from decongestion of traffic in Ranichennamma circle in Hubli city in the state of Karnataka on EPC basis",MoRTH,617935,Karnataka,08/2020,06/2021,06/2024,11/2026,298.00,0.00,262.05,65.00,109
1007,Ministry of Road Transport & Highways,Roads & Highways,Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,617950,Karnataka,11/2022,07/2025,01/2027,01/2027,204.42,0.00,55.06,25.00,109
1008,Ministry of Road Transport & Highways,Roads & Highways,Construction of Chintamani Bypass from Design Ch.0000 Existing Ch.428880 to Design Ch.15400 Existing Ch.444010 on NH-69 in the State of Karnataka in EPC Mode under NHO Annual Plan 2022-23. NH-69-KNT-2022-23-989 dated 24.03.2023,MoRTH,617951,Karnataka,03/2023,01/2026,07/2027,07/2027,314.55,0.00,65.75,15.00,109
1009,Ministry of Road Transport & Highways,Roads & Highways,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,617955,Karnataka,03/2022,03/2023,03/2025,12/2026,718.52,0.00,522.66,86.00,109
1010,Ministry of Road Transport & Highways,Roads & Highways,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,03/2019,05/2019,11/2021,04/2027,157.32,0.00,16713.20,69.00,109
1011,Ministry of Road Transport & Highways,Roads & Highways,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,03/2023,02/2026,02/2028,02/2028,538.71,0.00,90.45,6.00,109
1012,Ministry of Road Transport & Highways,Roads & Highways,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,03/2022,02/2023,02/2025,11/2026,177.94,0.00,135.57,83.00,109
1013,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,03/2023,10/2024,05/2026,04/2027,471.62,0.00,230.91,74.79,109
1014,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023,MoRTH,618027,Karnataka,02/2023,03/2024,03/2026,12/2026,445.62,0.00,255.52,90.00,110
1015,Ministry of Road Transport & Highways,Roads & Highways,"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023",MoRTH,618028,Karnataka,02/2023,06/2025,06/2027,06/2027,333.96,0.00,147.67,36.00,110
1016,Ministry of Road Transport & Highways,Roads & Highways,Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,618029,Karnataka,01/2022,01/2023,01/2025,03/2027,350.69,0.00,253.15,83.33,110
1017,Ministry of Road Transport & Highways,Roads & Highways,Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.,MoRTH,618031,Karnataka,01/2021,12/2021,12/2025,08/2026,516.96,0.00,386.50,98.00,110
1018,Ministry of Road Transport & Highways,Roads & Highways,"Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie., Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023",MoRTH,618086,Karnataka,03/2023,07/2025,01/2027,01/2027,617.28,0.00,135.24,48.60,110
1019,Ministry of Road Transport & Highways,Roads & Highways,Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,618087,Karnataka,03/2022,01/2023,07/2024,09/2026,255.88,0.00,201.76,98.00,110
1020,Ministry of Road Transport & Highways,Roads & Highways,Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH- 166E-KNT-2022-23-974,MoRTH,618095,Karnataka,02/2023,09/2024,03/2026,03/2027,196.05,0.00,82.41,75.00,110
1021,Ministry of Road Transport & Highways,Roads & Highways,Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,618109,Karnataka,01/2022,12/2022,12/2024,11/2026,355.72,0.00,269.80,88.33,110
1022,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,MoRTH,618147,Karnataka,01/2023,03/2024,09/2025,12/2026,166.58,0.00,85.43,75.00,110
1023,Ministry of Road Transport & Highways,Roads & Highways,Widening to 4LPS of NH-548B from Km 80.000 Near Murgundi to Km 140.200 Near Chikkodi excluding length from Km 118.450 to Km 128.450 in the State of Karnataka under NH O on EPC Mode under Annual Plan 2022-23 - Package 1 NH-548B-KNT- 2022-23-979 dated 09.03.2023,MoRTH,618148,Karnataka,03/2023,04/2026,04/2028,04/2028,785.79,0.00,128.84,6.00,110
1024,Ministry of Road Transport & Highways,Roads & Highways,Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka,MoRTH,618149,Karnataka,02/2023,01/2025,01/2027,01/2027,957.09,0.00,400.01,63.10,110
1025,Ministry of Road Transport & Highways,Roads & Highways,Widening to 4LPS of NH-548B from Km 118.450 Near Shirguppi to Km 128.450 Near Ankali in the State of Karnataka under NH O on EPC Mode Under Annual Plan 2022- 23 NH-548B-KNT-2022-23-982,MoRTH,618151,Karnataka,03/2023,05/2026,05/2029,-,1084.29,0.00,100.04,0.00,110
1026,Ministry of Road Transport & Highways,Roads & Highways,Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,MoRTH,618184,Karnataka,01/2023,02/2024,02/2026,12/2027,313.56,0.00,185.30,65.00,110
1027,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,618185,Karnataka,12/2022,08/2025,08/2027,08/2027,394.95,0.00,36.96,12.00,110
1028,Ministry of Road Transport & Highways,Roads & Highways,Widening to two lane with paved shoulder of NH-73New spur road Ujire - Dharmasthala - Periyashanthi in the State of Karnataka under NHO on HAM Mode Job No. NH-73Spur-KNT-2023-24-996,MoRTH,618189,Karnataka,01/2024,11/2025,11/2027,11/2027,613.65,0.00,64.40,27.50,111
1029,Ministry of Road Transport & Highways,Roads & Highways,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,NHAI,618517,Karnataka,12/2021,03/2023,09/2025,05/2027,1135.39,0.00,744.44,83.80,111
1030,Ministry of Road Transport & Highways,Roads & Highways,Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923,NHAI,618518,Karnataka,01/2017,01/2018,07/2020,12/2026,1454.67,0.00,1273.62,98.87,111
1031,Ministry of Road Transport & Highways,Roads & Highways,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],NHAI,618520,Karnataka,08/2020,04/2021,04/2023,09/2026,1438.74,0.00,1285.16,99.20,111
1032,Ministry of Road Transport & Highways,Roads & Highways,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,NHAI,618630,Karnataka,02/2022,12/2022,06/2025,12/2026,2355.56,0.00,1017.39,81.35,111
1033,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund- Raichur Section of NH 748 A Package-6,NHAI,618649,Karnataka,03/2023,11/2024,11/2026,06/2027,1246.15,0.00,412.78,56.93,111
1034,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund- Raichur Section of NH-748A Package-3,NHAI,618650,Karnataka,01/2024,04/2025,04/2027,03/2028,1363.90,0.00,316.73,24.50,111
1035,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund- Raichur Section of NH-748A Package-2,NHAI,618651,Karnataka,02/2024,03/2025,02/2027,07/2027,1427.88,0.00,606.24,58.70,111
1036,Ministry of Road Transport & Highways,Roads & Highways,4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal Village Balance work of NH 150A of Bellary Byrapura Section,NHAI,618697,Karnataka,02/2024,08/2024,07/2026,11/2027,626.01,0.00,126.00,38.97,111
1037,Ministry of Road Transport & Highways,Roads & Highways,4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,NHAI,618702,Karnataka,12/2020,11/2021,11/2023,04/2027,1660.19,0.00,1452.45,94.21,111
1038,Ministry of Road Transport & Highways,Roads & Highways,Bangalore-Nidagatta Pkg. I,NHAI,618706,Karnataka,02/2018,05/2019,11/2021,09/2026,3496.01,0.00,4315.20,99.19,111
1039,Ministry of Road Transport & Highways,Roads & Highways,Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,NHAI,618707,Karnataka,11/2024,01/2026,01/2028,05/2028,738.37,0.00,32.83,12.67,111
1040,Ministry of Road Transport & Highways,Roads & Highways,4L of Left-Over Works of Hospet-Bellary -Karnataka/AP border from Km.280.080 Dec.Ch. to Km.375450Des.Ch. of NH-63 New-67,NHAI,618709,Karnataka,03/2023,05/2023,05/2025,04/2028,1340.15,0.00,948.93,92.51,111
1041,Ministry of Road Transport & Highways,Roads & Highways,Belakeri Port to Kumta - Sirsi road from km 0.00 - km 4.265 of Belekeri Port Road Link Rd. and km 4.965 - km 60.00 of SH-69,NHAI,618799,Karnataka,03/2018,12/2020,12/2022,11/2026,440.16,0.00,476.34,95.23,111
1042,Ministry of Road Transport & Highways,Roads & Highways,4L PS from near Hemmige Village Periyapatna - Hassan Road Jn. to near Hunsur - KR Nagar Jn section from Km. 144.900 to Km. 169.000 of NH-275 Pkg. III,NHAI,618870,Karnataka,02/2023,04/2025,04/2027,02/2028,883.62,0.00,447.20,27.80,111
1043,Ministry of Road Transport & Highways,Roads & Highways,4L PS from Near Guddehosur to Start of Kushalnagara Bypass to near Hemmige Village Periyapatna - Hassan Road Jn from Km. 122.200 to Km. 144.900 of NH-275 Pkg. II,NHAI,618871,Karnataka,02/2023,12/2025,12/2027,05/2028,909.86,0.00,328.35,14.53,111
1044,Ministry of Road Transport & Highways,Roads & Highways,4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara - Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV,NHAI,618872,Karnataka,02/2023,04/2025,04/2027,04/2028,1062.76,0.00,286.32,19.58,111
1045,Ministry of Road Transport & Highways,Roads & Highways,4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH- 275 Pkg-V,NHAI,618873,Karnataka,01/2023,04/2025,04/2027,04/2028,1272.71,0.00,466.92,17.36,111
1046,Ministry of Road Transport & Highways,Roads & Highways,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,NHAI,618887,Karnataka,01/2019,10/2021,10/2023,03/2027,2082.98,0.00,1645.31,84.20,112
1047,Ministry of Road Transport & Highways,Roads & Highways,4L of Sannur to Bikarnakatte section from Km 691.350 to Km 736.362 of NH-169 Karkala - Mangalore Package-III,NHAI,618896,Karnataka,03/2021,10/2022,10/2024,04/2027,1386.41,0.00,1257.12,76.10,112
1048,Ministry of Road Transport & Highways,Roads & Highways,4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of Bangalore-Chennai Expressway Phase-I Package-II,NHAI,619065,Karnataka,12/2020,09/2021,09/2023,09/2026,1745.00,0.00,1103.62,99.80,112
1049,Ministry of Road Transport & Highways,Roads & Highways,Tumkur - Nelamangala 6L,NHAI,619071,Karnataka,03/2021,08/2022,08/2025,03/2027,2032.15,0.00,1094.39,61.36,112
1050,Ministry of Road Transport & Highways,Roads & Highways,Bangalore/TN border to Hoskote,NHAI,619072,Karnataka,02/2022,02/2023,02/2025,11/2026,1181.68,0.00,1154.93,94.89,112
1051,Ministry of Road Transport & Highways,Roads & Highways,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],NHAI,619073,Karnataka,02/2020,02/2021,02/2023,09/2026,1317.74,0.00,1360.42,99.20,112
1052,Ministry of Road Transport & Highways,Roads & Highways,Goa / Karnataka Km.93.700 to Kundapur Km.283.30,NHAI,619096,Karnataka,07/2012,03/2014,08/2016,12/2026,1644.92,0.00,1849.54,97.94,112
1053,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund- Raichur Section of NH 748 A Package-5,NHAI,619106,Karnataka,03/2023,11/2024,11/2026,08/2027,1141.88,0.00,270.91,40.63,112
1054,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund- Raichur Section of NH-748A Package-4,NHAI,619107,Karnataka,02/2024,09/2025,09/2027,04/2028,1311.41,0.00,244.01,15.00,112
1055,Ministry of Road Transport & Highways,Roads & Highways,4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur Section of NH-748A Package-1,NHAI,619108,Karnataka,02/2024,06/2025,06/2027,11/2027,1452.43,0.00,509.43,40.21,112
1056,Ministry of Road Transport & Highways,Roads & Highways,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,NHAI,619117,Karnataka,12/2015,03/2017,03/2019,09/2026,1021.57,0.00,1073.87,97.80,112
1057,Ministry of Road Transport & Highways,Roads & Highways,Nidagatta-Mysore Pkg II,NHAI,619120,Karnataka,02/2018,12/2019,06/2022,09/2026,2919.80,0.00,3717.48,99.19,112
1058,Ministry of Road Transport & Highways,Roads & Highways,Yekkambi-Haveri,NHAI,619138,Karnataka,09/2021,03/2022,03/2024,03/2028,294.62,0.00,94.93,24.70,112
1059,Ministry of Road Transport & Highways,Roads & Highways,BRT Tiger Reserve Boundary Km.287.500 to Bangalore Section Km.458.420 of NH- 209 in Karnataka,NHAI,619150,Karnataka,04/2016,08/2017,08/2019,09/2026,2082.69,0.00,2243.04,99.70,112
1060,Ministry of Road Transport & Highways,Roads & Highways,Belgaum-Khanapur Pkg I Km 0.000-Km 30.800 of NH-4A,NHAI,619164,Karnataka,03/2018,03/2019,09/2021,03/2027,1214.30,0.00,917.83,75.72,112
1061,Ministry of Road Transport & Highways,Roads & Highways,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000 to Km. 162.500 in Yadgir of NH-150C Pkg-III,NHAI,619211,Karnataka,03/2022,04/2023,10/2025,03/2027,2104.70,0.00,1003.62,73.90,112
1062,Ministry of Road Transport & Highways,Roads & Highways,4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli - Hassan section,NHAI,619214,Karnataka,04/2020,01/2021,01/2023,02/2027,688.00,0.00,617.61,82.34,112
1063,Ministry of Road Transport & Highways,Roads & Highways,4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,NHAI,619218,Karnataka,02/2018,10/2019,10/2021,09/2026,1364.14,0.00,1336.55,100.00,112
1064,Ministry of Road Transport & Highways,Roads & Highways,4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of NH-206,NHAI,619219,Karnataka,02/2018,10/2019,10/2021,12/2026,1505.85,0.00,1299.97,99.98,112
1065,Ministry of Road Transport & Highways,Roads & Highways,Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of Old NH-206,NHAI,619220,Karnataka,02/2018,03/2021,03/2023,12/2026,1444.50,0.00,876.08,98.00,112
1066,Ministry of Road Transport & Highways,Roads & Highways,Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO Annual Plan 2016-17 in the state of Kerala,MoRTH,618070,Kerala,02/2017,08/2017,08/2019,06/2026,294.28,0.00,0.00,98.00,113
1067,Ministry of Road Transport & Highways,Roads & Highways,6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468,NHAI,618595,Kerala,06/2020,10/2021,04/2024,03/2027,1746.45,0.00,1455.92,90.82,113
1068,Ministry of Road Transport & Highways,Roads & Highways,6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66,NHAI,618596,Kerala,08/2020,11/2021,05/2024,01/2028,2714.60,0.00,2020.57,83.70,113
1069,Ministry of Road Transport & Highways,Roads & Highways,6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66,NHAI,618597,Kerala,10/2020,10/2021,07/2024,03/2028,3205.77,0.00,2428.32,60.07,113
1070,Ministry of Road Transport & Highways,Roads & Highways,6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895 and allied works,NHAI,618598,Kerala,03/2020,12/2020,06/2022,09/2026,210.00,0.00,190.47,100.00,113
1071,Ministry of Road Transport & Highways,Roads & Highways,6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66,NHAI,618599,Kerala,01/2021,01/2022,07/2024,09/2026,4919.46,0.00,3764.41,100.00,113
1072,Ministry of Road Transport & Highways,Roads & Highways,6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850,NHAI,618600,Kerala,02/2021,01/2022,07/2024,09/2026,4023.94,0.00,2593.06,100.00,113
1073,Ministry of Road Transport & Highways,Roads & Highways,6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old NH-17,NHAI,618601,Kerala,06/2021,09/2022,01/2025,06/2027,4225.59,0.00,3345.37,95.27,113
1074,Ministry of Road Transport & Highways,Roads & Highways,6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old NH-17,NHAI,618602,Kerala,06/2021,09/2022,02/2025,06/2027,4302.06,0.00,3320.63,95.05,113
1075,Ministry of Road Transport & Highways,Roads & Highways,6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old NH-17,NHAI,618603,Kerala,11/2021,10/2022,04/2025,05/2027,3465.82,0.00,2178.79,71.11,113
1076,Ministry of Road Transport & Highways,Roads & Highways,Aroor-Thuravoor Thekku,NHAI,618604,Kerala,08/2022,02/2023,01/2026,12/2026,2429.52,0.00,1802.77,91.63,113
1077,Ministry of Road Transport & Highways,Roads & Highways,Thuravoor Thekku-Paravoor,NHAI,618605,Kerala,09/2021,03/2022,09/2024,05/2027,2878.97,0.00,2533.61,81.49,113
1078,Ministry of Road Transport & Highways,Roads & Highways,Paravoor-Kottankulangara,NHAI,618606,Kerala,12/2021,08/2022,02/2025,03/2027,3273.61,0.00,2863.51,71.20,113
1079,Ministry of Road Transport & Highways,Roads & Highways,Kottankulangara- Start of Kollam Bypass,NHAI,618607,Kerala,06/2021,04/2022,10/2024,03/2027,2842.14,0.00,2373.22,73.89,113
1080,Ministry of Road Transport & Highways,Roads & Highways,Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to 2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana,NHAI,618708,Kerala,09/2022,06/2023,06/2025,03/2027,1187.47,0.00,807.31,81.98,113
1081,Ministry of Road Transport & Highways,Roads & Highways,Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.,NHAI,619098,Kerala,02/2018,02/2021,02/2023,09/2026,1424.77,0.00,1066.67,98.75,113
1082,Ministry of Road Transport & Highways,Roads & Highways,6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66,NHAI,619206,Kerala,06/2020,10/2021,01/2024,03/2027,3041.65,0.00,2526.57,86.65,113
1083,Ministry of Road Transport & Highways,Roads & Highways,Start of Kollam Bypass - Kadambattukonam,NHAI,619207,Kerala,06/2021,10/2022,03/2025,06/2027,2641.37,0.00,1990.79,81.80,113
1084,Ministry of Road Transport & Highways,Roads & Highways,Kadambattukonam-Kazhakuttom,NHAI,619208,Kerala,12/2021,07/2022,01/2025,05/2027,3635.64,0.00,2124.38,44.34,113
1085,Ministry of Road Transport & Highways,Roads & Highways,Kargil Zanskar Road,NHIDCL,618408,Ladakh,03/2021,07/2021,01/2023,09/2026,398.37,0.00,344.61,98.09,113
1086,Ministry of Road Transport & Highways,Roads & Highways,Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,NHIDCL,618409,Ladakh,03/2021,07/2021,01/2023,09/2026,381.01,0.00,316.16,95.09,113
1087,Ministry of Road Transport & Highways,Roads & Highways,Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905 of 26.960 Km length Pkg-II,NHIDCL,618410,Ladakh,03/2021,07/2021,01/2023,10/2026,404.89,0.00,377.66,89.87,114
1088,Ministry of Road Transport & Highways,Roads & Highways,Construction of Rewa Bypass to 4-lane with paved shoulder along with service road from Ratahara Chowk to Chorhata Chowk Road section of NH-30 from km 00.000 to 19.200 in the State of Madhya Pradesh on Hybrid Annuity Mode HAM.,MoRTH,617909,Madhya Pradesh,03/2024,02/2025,02/2027,02/2027,648.05,0.00,119.26,67.00,114
1089,Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and upgradation Umaria to Shahdol section of NH-78 from Existing Km. 68/4 to Km. 142/2 to 2LPS including construction of Birshinghpur and Shahdol Bypass on EPC mode under NHDP-IVA,MoRTH,617911,Madhya Pradesh,03/2015,08/2015,07/2017,09/2026,511.83,0.00,504.85,94.50,114
1090,Ministry of Road Transport & Highways,Roads & Highways,Upgradation and reconstruction of Shahpura-Dindori Section of NH 45 from Km 103.700 Design to Km 164.580 Design including 3 bypasses Total length 60.88km to Two lane with paved shoulder configuration along with One time improvement in 03 nos of bypassed built-up areas in a total length of 12.341 km in the State of Madhya Pradesh on EPC mode,MoRTH,617914,Madhya Pradesh,03/2022,01/2024,12/2025,06/2027,241.23,0.00,129.86,41.25,114
1091,Ministry of Road Transport & Highways,Roads & Highways,Upgradation & widening of Jharkheda- Berasia - Dholkhedi from design km 0000 to km 87900 Design length 87.90km of NH-346 including 3 nos. bypasses of 13.10 Km in the State of Madhya Pradesh under EPC mode.,MoRTH,618019,Madhya Pradesh,03/2022,05/2023,05/2025,09/2026,365.21,0.00,304.07,91.00,114
1092,Ministry of Road Transport & Highways,Roads & Highways,"Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346, from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved shoulder configuration along with One time improvement in 07 nos of bypassed built- up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.",MoRTH,618020,Madhya Pradesh,03/2022,02/2023,02/2025,12/2026,386.49,0.00,242.83,67.57,114
